facility_name,variant_id,variant_name,variant_sku,variant_barcode,retail_price,cost_price,opening,opening_val,opening_cost,str_in,str_in_val,str_in_cost,str_out,str_out_val,str_out_cost,sales_qty,sales_val,sales_cost,returns_qty,returns_val,returns_cost,available,available_val,available_cost,reserved,reserved_val,reserved_cost,onhand,onhand_val,onhand_cost,incoming,incoming_val,incoming_cost
MM Alam,9319763,Leather Formal 41 Brown Polishable,9192,009192-041-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319763,Leather Formal 41 Brown Polishable,9192,009192-041-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319771,Leather Formal 42 Brown Polishable,9192,009192-042-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319771,Leather Formal 42 Brown Polishable,9192,009192-042-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9322123,Leather Casual 45 Blu,9251,009251-045-BLU,14000,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319779,Leather Formal 43 Brown Polishable,9192,009192-043-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319779,Leather Formal 43 Brown Polishable,9192,009192-043-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319787,Leather Formal 44 Brown Polishable,9192,009192-044-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319787,Leather Formal 44 Brown Polishable,9192,009192-044-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319787,Leather Formal 44 Brown Polishable,9192,009192-044-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319795,Leather Formal 45 Brown Polishable,9192,009192-045-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319795,Leather Formal 45 Brown Polishable,9192,009192-045-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319795,Leather Formal 45 Brown Polishable,9192,009192-045-BRA,16500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319807,Leather Formal 40 Black Polishable,9193,009193-040-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319807,Leather Formal 40 Black Polishable,9193,009193-040-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319807,Leather Formal 40 Black Polishable,9193,009193-040-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319815,Leather Formal 40 Blu,9193,009193-040-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319815,Leather Formal 40 Blu,9193,009193-040-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319815,Leather Formal 40 Blu,9193,009193-040-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319823,Leather Formal 40 Brown Polishable,9193,009193-040-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319823,Leather Formal 40 Brown Polishable,9193,009193-040-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319823,Leather Formal 40 Brown Polishable,9193,009193-040-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319831,Leather Formal 41 Black Polishable,9193,009193-041-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319831,Leather Formal 41 Black Polishable,9193,009193-041-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319831,Leather Formal 41 Black Polishable,9193,009193-041-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319839,Leather Formal 41 Blu,9193,009193-041-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319839,Leather Formal 41 Blu,9193,009193-041-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319839,Leather Formal 41 Blu,9193,009193-041-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296446,Leather Casual 43 Brown Polishable,4718,004718-043-BRA,14900,3400,1,14900,3400,0,0,0,1,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319847,Leather Formal 41 Brown Polishable,9193,009193-041-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296454,Leather Casual 44 Brown Polishable,4718,004718-044-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296454,Leather Casual 44 Brown Polishable,4718,004718-044-BRA,14900,3400,1,14900,3400,0,0,0,1,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296454,Leather Casual 44 Brown Polishable,4718,004718-044-BRA,14900,3400,2,29800,6800,0,0,0,2,29800,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296446,Leather Casual 43 Brown Polishable,4718,004718-043-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296462,Leather Casual 45 Brown Polishable,4718,004718-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296462,Leather Casual 45 Brown Polishable,4718,004718-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296462,Leather Casual 45 Brown Polishable,4718,004718-045-BRA,14900,3400,1,14900,3400,0,0,0,1,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319847,Leather Formal 41 Brown Polishable,9193,009193-041-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296518,Leather Casual 40 Black Polishable,4718,004718-040-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296518,Leather Casual 40 Black Polishable,4718,004718-040-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296518,Leather Casual 40 Black Polishable,4718,004718-040-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296526,Leather Casual 41 Black Polishable,4718,004718-041-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296526,Leather Casual 41 Black Polishable,4718,004718-041-BKA,14900,3400,0,0,0,0,0,0,1,14900,3400,-1,-14900,-3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296526,Leather Casual 41 Black Polishable,4718,004718-041-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319847,Leather Formal 41 Brown Polishable,9193,009193-041-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296534,Leather Casual 42 Black Polishable,4718,004718-042-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296534,Leather Casual 42 Black Polishable,4718,004718-042-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296534,Leather Casual 42 Black Polishable,4718,004718-042-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296542,Leather Casual 43 Black Polishable,4718,004718-043-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296542,Leather Casual 43 Black Polishable,4718,004718-043-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296542,Leather Casual 43 Black Polishable,4718,004718-043-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296550,Leather Casual 44 Black Polishable,4718,004718-044-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296550,Leather Casual 44 Black Polishable,4718,004718-044-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296550,Leather Casual 44 Black Polishable,4718,004718-044-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296558,Leather Casual 45 Black Polishable,4718,004718-045-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296558,Leather Casual 45 Black Polishable,4718,004718-045-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296558,Leather Casual 45 Black Polishable,4718,004718-045-BKA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296618,Leather Casual 40 Brown Polishable,4719,004719-040-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296618,Leather Casual 40 Brown Polishable,4719,004719-040-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296626,Leather Casual 41 Brown Polishable,4719,004719-041-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296626,Leather Casual 41 Brown Polishable,4719,004719-041-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296634,Leather Casual 42 Brown Polishable,4719,004719-042-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296634,Leather Casual 42 Brown Polishable,4719,004719-042-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296634,Leather Casual 42 Brown Polishable,4719,004719-042-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296642,Leather Casual 43 Brown Polishable,4719,004719-043-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296642,Leather Casual 43 Brown Polishable,4719,004719-043-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319855,Leather Formal 42 Black Polishable,9193,009193-042-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296446,Leather Casual 43 Brown Polishable,4718,004718-043-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296650,Leather Casual 44 Brown Polishable,4719,004719-044-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296650,Leather Casual 44 Brown Polishable,4719,004719-044-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296650,Leather Casual 44 Brown Polishable,4719,004719-044-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296658,Leather Casual 45 Brown Polishable,4719,004719-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296658,Leather Casual 45 Brown Polishable,4719,004719-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296670,Leather Casual 40 Gra,4720,004720-040-GRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296678,Leather Casual 41 Gra,4720,004720-041-GRA,14900,3547.6924,2,29800,7095.385,0,0,0,0,0,0,2,29800,7095.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296438,Leather Casual 42 Brown Polishable,4718,004718-042-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296438,Leather Casual 42 Brown Polishable,4718,004718-042-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319855,Leather Formal 42 Black Polishable,9193,009193-042-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319855,Leather Formal 42 Black Polishable,9193,009193-042-BKA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296826,Formal Leather Slippers 40 Brown Crocodile,6931,006931-040-BRC,4950,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296834,Formal Leather Slippers 41 Brown Crocodile,6931,006931-041-BRC,4950,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296842,Formal Leather Slippers 42 Brown Crocodile,6931,006931-042-BRC,4950,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296850,Formal Leather Slippers 43 Brown Crocodile,6931,006931-043-BRC,4950,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296858,Formal Leather Slippers 44 Brown Crocodile,6931,006931-044-BRC,4950,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297002,Formal Leather Slippers 43 Brown Polishable,7029,007029-043-BRA,5150,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297018,Formal Leather Slippers 45 Brown Polishable,7029,007029-045-BRA,5150,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297082,Formal Leather Slippers 40 Brown Polishable,7060,007060-040-BRA,7500,1853.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297082,Formal Leather Slippers 40 Brown Polishable,7060,007060-040-BRA,7500,1853.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WH,9297082,Formal Leather Slippers 40 Brown Polishable,7060,007060-040-BRA,7500,1853.3333,0,0,0,1,7500,1853.3333,1,7500,1853.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319863,Leather Formal 42 Blu,9193,009193-042-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297122,Formal Leather Slippers 45 Brown Polishable,7060,007060-045-BRA,7500,1870.0854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297122,Formal Leather Slippers 45 Brown Polishable,7060,007060-045-BRA,7500,1870.0854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297134,Formal Leather Slippers 40 Mustard,7061,007061-040-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297134,Formal Leather Slippers 40 Mustard,7061,007061-040-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297142,Formal Leather Slippers 41 Mustard,7061,007061-041-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297142,Formal Leather Slippers 41 Mustard,7061,007061-041-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297150,Formal Leather Slippers 42 Mustard,7061,007061-042-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297150,Formal Leather Slippers 42 Mustard,7061,007061-042-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297158,Formal Leather Slippers 43 Mustard,7061,007061-043-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297158,Formal Leather Slippers 43 Mustard,7061,007061-043-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297166,Formal Leather Slippers 44 Mustard,7061,007061-044-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319863,Leather Formal 42 Blu,9193,009193-042-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297174,Formal Leather Slippers 45 Mustard,7061,007061-045-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297174,Formal Leather Slippers 45 Mustard,7061,007061-045-MST,7500,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319863,Leather Formal 42 Blu,9193,009193-042-BLU,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9319871,Leather Formal 42 Brown Polishable,9193,009193-042-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296438,Leather Casual 42 Brown Polishable,4718,004718-042-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296430,Leather Casual 41 Brown Polishable,4718,004718-041-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296430,Leather Casual 41 Brown Polishable,4718,004718-041-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296430,Leather Casual 41 Brown Polishable,4718,004718-041-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296422,Leather Casual 40 Brown Polishable,4718,004718-040-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296422,Leather Casual 40 Brown Polishable,4718,004718-040-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296422,Leather Casual 40 Brown Polishable,4718,004718-040-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296102,Leather Casual 45 Brown Polishable,4431,004431-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9296102,Leather Casual 45 Brown Polishable,4431,004431-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296102,Leather Casual 45 Brown Polishable,4431,004431-045-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296094,Leather Casual 44 Brown Polishable,4431,004431-044-BRA,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9296094,Leather Casual 44 Brown Polishable,4431,004431-044-BRA,14900,3400,0,0,0,1,14900,3400,0,0,0,1,14900,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9319871,Leather Formal 42 Brown Polishable,9193,009193-042-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9296086,Leather Casual 43 Brown Polishable,4431,004431-043-BRA,14900,3400,3,44700,10200,0,0,0,3,44700,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9319871,Leather Formal 42 Brown Polishable,9193,009193-042-BRA,15500,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297490,Formal Leather Slippers 40 Black Velvet,7071,007071-040-BKV,6250,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297498,Formal Leather Slippers 41 Black Velvet,7071,007071-041-BKV,6250,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297498,Formal Leather Slippers 41 Black Velvet,7071,007071-041-BKV,6250,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297506,Formal Leather Slippers 42 Black Velvet,7071,007071-042-BKV,6250,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297514,Formal Leather Slippers 43 Black Velvet,7071,007071-043-BKV,6250,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297666,Formal Leather Sandals 43 Black Polishable,7248,007248-043-BKA,5150,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297742,Formal Leather Slippers 40 Brown Polishable,7350,007350-040-BRA,5950,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297750,Formal Leather Slippers 41 Brown Polishable,7350,007350-041-BRA,5950,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297758,Formal Leather Slippers 42 Brown Polishable,7350,007350-042-BRA,5950,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297766,Formal Leather Slippers 43 Brown Polishable,7350,007350-043-BRA,5950,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297774,Formal Leather Slippers 44 Brown Polishable,7350,007350-044-BRA,5950,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297782,Formal Leather Slippers 45 Brown Polishable,7350,007350-045-BRA,5950,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Alam,9297810,Formal Leather Sandals 42 Black Polishable,7369,007369-042-BKA,6250,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297846,Formal Leather Sandals 40 Brown Polishable,7373,007373-040-BRA,5750,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297854,Formal Leather Sandals 41 Brown Polishable,7373,007373-041-BRA,5750,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packages Mall,9297862,Formal Leather Sandals 42 Brown Polishable,7373,007373-042-BRA,5750,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHA,9297870,Formal Leather Sandals 43 Brown Polishable,7373,007373-043-BRA,5750,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
