facility_name,variant_id,variant_name,variant_sku,variant_barcode,retail_price,cost_price,opening,opening_val,opening_cost,str_in,str_in_val,str_in_cost,str_out,str_out_val,str_out_cost,sales_qty,sales_val,sales_cost,returns_qty,returns_val,returns_cost,available,available_val,available_cost,reserved,reserved_val,reserved_cost,onhand,onhand_val,onhand_cost,incoming,incoming_val,incoming_cost
MM Alam,9339424,Leather Formal 42 Brown Polishable,9546,009546-042-BRA,18000,4000,6,108000,24000,0,0,0,0,0,0,1,18000,4000,0,0,0,5,90000,20000,0,0,0,5,90000,20000,0,0,0
MM Alam,9340896,Leather Formal 42 Brown Polishable,9562,009562-042-BRA,18000,4000,5,90000,20000,0,0,0,0,0,0,0,0,0,0,0,0,5,90000,20000,0,0,0,5,90000,20000,0,0,0
WH,9342600,Leather Formal 41 Black Polishable,9578,009578-041-BKA,18000,3700,0,0,0,5,90000,18500,0,0,0,0,0,0,0,0,0,5,90000,18500,0,0,0,5,90000,18500,0,0,0
WH,9310999,Formal Leather Slippers 42 Brown Polishable,7830,007830-042-BRA,8500,1816.2162,0,0,0,5,42500,9081.081,0,0,0,0,0,0,0,0,0,5,42500,9081.081,0,0,0,5,42500,9081.081,0,0,0
WH,9308185,Formal Leather Sandals 44 Brown Polishable,7735,007735-044-BRA,8880,2546.1287,0,0,0,5,44400,12730.644,0,0,0,0,0,0,0,0,0,5,44400,12730.644,0,0,0,5,44400,12730.644,0,0,0
WH,9302546,Formal Leather Sandals 44 Brown Polishable,7552,007552-044-BRA,7000,1900,0,0,0,15,105000,28500,10,70000,19000,0,0,0,0,0,0,5,35000,9500,0,0,0,5,35000,9500,0,0,0
MM Alam,9293450,Leather Formal Black Mild / 43,1045,001045-043-BKM,20000,4181,0,0,0,9,180000,37629,0,0,0,4,80000,16724,0,0,0,5,100000,20905,0,0,0,5,100000,20905,0,0,0
MM Alam,9307417,Formal Leather Sandals 42 Black Polishable,7723,007723-042-BKA,12500,2766.7976,3,37500,8300.393,1,12500,2766.7976,0,0,0,-1,-12500,-2766.7976,0,0,0,5,62500,13833.988,0,0,0,5,62500,13833.988,0,0,0
WH,9299798,Formal Leather Slippers 40 Black Polishable,7482,007482-040-BKA,8000,1600,0,0,0,5,40000,8000,0,0,0,0,0,0,0,0,0,5,40000,8000,0,0,0,5,40000,8000,0,0,0
DHA,9301030,Formal Leather Slippers 43 Brown Polishable,7497,007497-043-BRA,8000,1728.3582,2,16000,3456.7163,11,88000,19011.94,8,64000,13826.865,0,0,0,0,0,0,5,40000,8641.791,0,0,0,5,40000,8641.791,0,0,0
WH,9311183,Formal Leather Slippers 44 Black Polishable,7832,007832-044-BKA,7000,1700,0,0,0,5,35000,8500,0,0,0,0,0,0,0,0,0,5,35000,8500,0,0,0,5,35000,8500,0,0,0
WH,9311175,Formal Leather Slippers 43 Brown Polishable,7832,007832-043-BRA,7000,1700,0,0,0,10,70000,17000,5,35000,8500,0,0,0,0,0,0,5,35000,8500,0,0,0,5,35000,8500,0,0,0
Packages Mall,9290942,Leather Formal 42 Greeen Nubuck,1003,001003-042-GRN,18000,4000,5,90000,20000,0,0,0,0,0,0,0,0,0,0,0,0,5,90000,20000,0,0,0,5,90000,20000,0,0,0
WH,9299830,Formal Leather Slippers 42 Black Polishable,7482,007482-042-BKA,8000,1600,0,0,0,7,56000,11200,2,16000,3200,0,0,0,0,0,0,5,40000,8000,0,0,0,5,40000,8000,0,0,0
MM Alam,9307801,Formal Leather Sandals 45 Brown Polishable,7729,007729-045-BRA,9380,2932.9585,1,9380,2932.9585,4,37520,11731.834,1,9380,2932.9585,-1,-9380,-2932.9585,0,0,0,5,46900,14664.793,0,0,0,5,46900,14664.793,0,0,0
MM Alam,9309931,Formal Leather Slippers 43 Brown Polishable,7815,007815-043-BRA,8000,1896.3933,2,16000,3792.7866,11,88000,20860.326,0,0,0,8,64000,15171.146,0,0,0,5,40000,9481.967,0,0,0,5,40000,9481.967,0,0,0
